cell_id,POS,TA,POL,A_Person,A_Number,A_Clusivity,O_Person,O_Number,O_Clusivity,Label
3.pl.2.du.fut.aff,verb,fut,aff,3,pl,NA,2,du,NA,3PL>2DU.FUT.AFF
3.pl.2.du.fut.neg,verb,fut,neg,3,pl,NA,2,du,NA,3PL>2DU.FUT.NEG
3.pl.2.du.nfut.aff,verb,nfut,aff,3,pl,NA,2,du,NA,3PL>2DU.NFUT.AFF
3.pl.2.du.nfut.neg,verb,nfut,neg,3,pl,NA,2,du,NA,3PL>2DU.NFUT.NEG
3.pl.3.du.fut.aff,verb,fut,aff,3,pl,NA,3,du,NA,3PL>3DU.FUT.AFF
3.pl.3.du.fut.neg,verb,fut,neg,3,pl,NA,3,du,NA,3PL>3DU.FUT.NEG
3.pl.3.du.nfut.aff,verb,nfut,aff,3,pl,NA,3,du,NA,3PL>3DU.NFUT.AFF
3.pl.3.du.nfut.neg,verb,nfut,neg,3,pl,NA,3,du,NA,3PL>3DU.NFUT.NEG
3.sg.1.du.excl.fut.aff,verb,fut,aff,3,sg,NA,1,du,excl,3SG>1DU.EXCL.FUT.AFF
3.sg.1.du.excl.fut.neg,verb,fut,neg,3,sg,NA,1,du,excl,3SG>1DU.EXCL.FUT.NEG
3.sg.1.du.excl.nfut.aff,verb,nfut,aff,3,sg,NA,1,du,excl,3SG>1DU.EXCL.NFUT.AFF
3.sg.1.du.excl.nfut.neg,verb,nfut,neg,3,sg,NA,1,du,excl,3SG>1DU.EXCL.NFUT.NEG
3.sg.2.du.fut.aff,verb,fut,aff,3,sg,NA,2,du,NA,3SG>2DU.FUT.AFF
3.sg.2.du.fut.neg,verb,fut,neg,3,sg,NA,2,du,NA,3SG>2DU.FUT.NEG
3.sg.2.du.nfut.aff,verb,nfut,aff,3,sg,NA,2,du,NA,3SG>2DU.NFUT.AFF
3.sg.2.du.nfut.neg,verb,nfut,neg,3,sg,NA,2,du,NA,3SG>2DU.NFUT.NEG
3.sg.3.du.fut.aff,verb,fut,aff,3,sg,NA,3,du,NA,3SG>3DU.FUT.AFF
3.sg.3.du.fut.neg,verb,fut,neg,3,sg,NA,3,du,NA,3SG>3DU.FUT.NEG
3.sg.3.du.nfut.aff,verb,nfut,aff,3,sg,NA,3,du,NA,3SG>3DU.NFUT.AFF
3.sg.3.du.nfut.neg,verb,nfut,neg,3,sg,NA,3,du,NA,3SG>3DU.NFUT.NEG
1.pl.fut.aff,verb,fut,aff,1,pl,NA,NA,NA,NA,1PL.FUT.AFF
1.pl.fut.neg,verb,fut,neg,1,pl,NA,NA,NA,NA,1PL.FUT.NEG
1.pl.nfut.aff,verb,nfut,aff,1,pl,NA,NA,NA,NA,1PL.NFUT.AFF
1.pl.nfut.neg,verb,nfut,neg,1,pl,NA,NA,NA,NA,1PL.NFUT.NEG
1.du,pronoun,NA,NA,1,du,NA,NA,NA,NA,1DU
1.pl.2.pl.fut.aff,verb,fut,aff,1,pl,NA,2,pl,NA,1PL>2PL.FUT.AFF
1.pl.2.pl.fut.neg,verb,fut,neg,1,pl,NA,2,pl,NA,1PL>2PL.FUT.NEG
1.pl.2.pl.nfut.aff,verb,nfut,aff,1,pl,NA,2,pl,NA,1PL>2PL.NFUT.AFF
1.pl.2.pl.nfut.neg,verb,nfut,neg,1,pl,NA,2,pl,NA,1PL>2PL.NFUT.NEG
1.pl.2.sg.fut.aff,verb,fut,aff,1,pl,NA,2,sg,NA,1PL>2SG.FUT.AFF
1.pl.2.sg.fut.neg,verb,fut,neg,1,pl,NA,2,sg,NA,1PL>2SG.FUT.NEG
1.pl.2.sg.nfut.aff,verb,nfut,aff,1,pl,NA,2,sg,NA,1PL>2SG.NFUT.AFF
1.pl.2.sg.nfut.neg,verb,nfut,neg,1,pl,NA,2,sg,NA,1PL>2SG.NFUT.NEG
1.pl.3.pl.fut.aff,verb,fut,aff,1,pl,NA,3,pl,NA,1PL>3PL.FUT.AFF
1.pl.3.pl.fut.neg,verb,fut,neg,1,pl,NA,3,pl,NA,1PL>3PL.FUT.NEG
1.pl.3.pl.nfut.aff,verb,nfut,aff,1,pl,NA,3,pl,NA,1PL>3PL.NFUT.AFF
1.pl.3.pl.nfut.neg,verb,nfut,neg,1,pl,NA,3,pl,NA,1PL>3PL.NFUT.NEG
